ime,spol,leto_rojstva,leto_smrti,nominacija,oskar,stevilo,prvi_film
Abigail Breslin,F,1996,,Glavna,False,0,Little Miss Sunshine
Abigail Breslin,F,1996,,Glavna,True,0,Little Miss Sunshine
Abigail Breslin,F,1996,,Stranska,False,1,Little Miss Sunshine
Abigail Breslin,F,1996,,Stranska,True,0,Little Miss Sunshine
Adam Driver,M,1983,,Glavna,False,1,BlacKkKlansman
Adam Driver,M,1983,,Glavna,True,0,BlacKkKlansman
Adam Driver,M,1983,,Stranska,False,1,BlacKkKlansman
Adam Driver,M,1983,,Stranska,True,0,BlacKkKlansman
Adolph Caesar,M,1933,1986.0,Glavna,False,0,A Soldier's Story
Adolph Caesar,M,1933,1986.0,Glavna,True,0,A Soldier's Story
Adolph Caesar,M,1933,1986.0,Stranska,False,1,A Soldier's Story
Adolph Caesar,M,1933,1986.0,Stranska,True,0,A Soldier's Story
Adolphe Menjou,M,1890,1963.0,Glavna,False,1,The Front Page
Adolphe Menjou,M,1890,1963.0,Glavna,True,0,The Front Page
Adolphe Menjou,M,1890,1963.0,Stranska,False,0,The Front Page
Adolphe Menjou,M,1890,1963.0,Stranska,True,0,The Front Page
Adriana Barraza,F,1956,,Glavna,False,0,Babel
Adriana Barraza,F,1956,,Glavna,True,0,Babel
Adriana Barraza,F,1956,,Stranska,False,1,Babel
Adriana Barraza,F,1956,,Stranska,True,0,Babel
Adrien Brody,M,1973,,Glavna,False,0,The Pianist
Adrien Brody,M,1973,,Glavna,True,1,The Pianist
Adrien Brody,M,1973,,Stranska,False,0,The Pianist
Adrien Brody,M,1973,,Stranska,True,0,The Pianist
Agnes Moorehead,F,1900,1974.0,Glavna,False,0,The Magnificent Ambersons
Agnes Moorehead,F,1900,1974.0,Glavna,True,0,The Magnificent Ambersons
Agnes Moorehead,F,1900,1974.0,Stranska,False,4,The Magnificent Ambersons
Agnes Moorehead,F,1900,1974.0,Stranska,True,0,The Magnificent Ambersons
Akim Tamiroff,M,1899,1972.0,Glavna,False,0,The General Died at Dawn
Akim Tamiroff,M,1899,1972.0,Glavna,True,0,The General Died at Dawn
Akim Tamiroff,M,1899,1972.0,Stranska,False,2,The General Died at Dawn
Akim Tamiroff,M,1899,1972.0,Stranska,True,0,The General Died at Dawn
Al Pacino,M,1940,,Glavna,False,4,Scent of a Woman
Al Pacino,M,1940,,Glavna,True,1,Scent of a Woman
Al Pacino,M,1940,,Stranska,False,4,Scent of a Woman
Al Pacino,M,1940,,Stranska,True,0,Scent of a Woman
Alan Alda,M,1936,,Glavna,False,0,The Aviator
Alan Alda,M,1936,,Glavna,True,0,The Aviator
Alan Alda,M,1936,,Stranska,False,1,The Aviator
Alan Alda,M,1936,,Stranska,True,0,The Aviator
Alan Arkin,M,1934,2023.0,Glavna,False,2,Little Miss Sunshine
Alan Arkin,M,1934,2023.0,Glavna,True,0,Little Miss Sunshine
Alan Arkin,M,1934,2023.0,Stranska,False,1,Little Miss Sunshine
Alan Arkin,M,1934,2023.0,Stranska,True,1,Little Miss Sunshine
Alan Bates,M,1934,2003.0,Glavna,False,1,The Fixer
Alan Bates,M,1934,2003.0,Glavna,True,0,The Fixer
Alan Bates,M,1934,2003.0,Stranska,False,0,The Fixer
Alan Bates,M,1934,2003.0,Stranska,True,0,The Fixer
Albert Bassermann,M,1867,1952.0,Glavna,False,0,Foreign Correspondent
Albert Bassermann,M,1867,1952.0,Glavna,True,0,Foreign Correspondent
Albert Bassermann,M,1867,1952.0,Stranska,False,1,Foreign Correspondent
Albert Bassermann,M,1867,1952.0,Stranska,True,0,Foreign Correspondent
Albert Brooks,M,1947,,Glavna,False,0,Broadcast News
Albert Brooks,M,1947,,Glavna,True,0,Broadcast News
Albert Brooks,M,1947,,Stranska,False,1,Broadcast News
Albert Brooks,M,1947,,Stranska,True,0,Broadcast News
Albert Finney,M,1936,2019.0,Glavna,False,4,Tom Jones
Albert Finney,M,1936,2019.0,Glavna,True,0,Tom Jones
Albert Finney,M,1936,2019.0,Stranska,False,1,Tom Jones
Albert Finney,M,1936,2019.0,Stranska,True,0,Tom Jones
Alec Baldwin,M,1958,,Glavna,False,0,The Cooler
Alec Baldwin,M,1958,,Glavna,True,0,The Cooler
Alec Baldwin,M,1958,,Stranska,False,1,The Cooler
Alec Baldwin,M,1958,,Stranska,True,0,The Cooler
Alec Guinness,M,1914,2000.0,Glavna,False,1,The Bridge on the River Kwai
Alec Guinness,M,1914,2000.0,Glavna,True,1,The Bridge on the River Kwai
Alec Guinness,M,1914,2000.0,Stranska,False,2,The Bridge on the River Kwai
Alec Guinness,M,1914,2000.0,Stranska,True,0,The Bridge on the River Kwai
Alexander Knox,M,1907,1995.0,Glavna,False,1,Wilson
Alexander Knox,M,1907,1995.0,Glavna,True,0,Wilson
Alexander Knox,M,1907,1995.0,Stranska,False,0,Wilson
Alexander Knox,M,1907,1995.0,Stranska,True,0,Wilson
Alfre Woodard,F,1952,,Glavna,False,0,Cross Creek
Alfre Woodard,F,1952,,Glavna,True,0,Cross Creek
Alfre Woodard,F,1952,,Stranska,False,1,Cross Creek
Alfre Woodard,F,1952,,Stranska,True,0,Cross Creek
Alfred Lunt,M,1892,1977.0,Glavna,False,1,The Guardsman
Alfred Lunt,M,1892,1977.0,Glavna,True,0,The Guardsman
Alfred Lunt,M,1892,1977.0,Stranska,False,0,The Guardsman
Alfred Lunt,M,1892,1977.0,Stranska,True,0,The Guardsman
Ali MacGraw,F,1939,,Glavna,False,1,Love Story
Ali MacGraw,F,1939,,Glavna,True,0,Love Story
Ali MacGraw,F,1939,,Stranska,False,0,Love Story
Ali MacGraw,F,1939,,Stranska,True,0,Love Story
Alice Brady,F,1892,1939.0,Glavna,False,0,In Old Chicago
Alice Brady,F,1892,1939.0,Glavna,True,0,In Old Chicago
Alice Brady,F,1892,1939.0,Stranska,False,1,In Old Chicago
Alice Brady,F,1892,1939.0,Stranska,True,1,In Old Chicago
Alicia Vikander,F,1988,,Glavna,False,0,The Danish Girl
Alicia Vikander,F,1988,,Glavna,True,0,The Danish Girl
Alicia Vikander,F,1988,,Stranska,False,0,The Danish Girl
Alicia Vikander,F,1988,,Stranska,True,1,The Danish Girl
Aline MacMahon,F,1899,1991.0,Glavna,False,0,Dragon Seed
Aline MacMahon,F,1899,1991.0,Glavna,True,0,Dragon Seed
Aline MacMahon,F,1899,1991.0,Stranska,False,1,Dragon Seed
Aline MacMahon,F,1899,1991.0,Stranska,True,0,Dragon Seed
Allison Janney,F,1959,,Glavna,False,0,"I, Tonya"
Allison Janney,F,1959,,Glavna,True,0,"I, Tonya"
Allison Janney,F,1959,,Stranska,False,0,"I, Tonya"
Allison Janney,F,1959,,Stranska,True,1,"I, Tonya"
Amanda Seyfried,F,1985,,Glavna,False,0,Mank
Amanda Seyfried,F,1985,,Glavna,True,0,Mank
Amanda Seyfried,F,1985,,Stranska,False,1,Mank
Amanda Seyfried,F,1985,,Stranska,True,0,Mank
America Ferrera,F,1984,,Glavna,False,0,Barbie
America Ferrera,F,1984,,Glavna,True,0,Barbie
America Ferrera,F,1984,,Stranska,False,1,Barbie
America Ferrera,F,1984,,Stranska,True,0,Barbie
Amy Adams,F,1974,,Glavna,False,1,Junebug
Amy Adams,F,1974,,Glavna,True,0,Junebug
Amy Adams,F,1974,,Stranska,False,5,Junebug
Amy Adams,F,1974,,Stranska,True,0,Junebug
Amy Irving,F,1953,,Glavna,False,0,Yentl
Amy Irving,F,1953,,Glavna,True,0,Yentl
Amy Irving,F,1953,,Stranska,False,1,Yentl
Amy Irving,F,1953,,Stranska,True,0,Yentl
Amy Madigan,F,1950,,Glavna,False,0,Twice in a Lifetime
Amy Madigan,F,1950,,Glavna,True,0,Twice in a Lifetime
Amy Madigan,F,1950,,Stranska,False,1,Twice in a Lifetime
Amy Madigan,F,1950,,Stranska,True,0,Twice in a Lifetime
Amy Ryan,F,1969,,Glavna,False,0,Gone Baby Gone
Amy Ryan,F,1969,,Glavna,True,0,Gone Baby Gone
Amy Ryan,F,1969,,Stranska,False,1,Gone Baby Gone
Amy Ryan,F,1969,,Stranska,True,0,Gone Baby Gone
Ana de Armas,F,1988,,Glavna,False,1,Blonde
Ana de Armas,F,1988,,Glavna,True,0,Blonde
Ana de Armas,F,1988,,Stranska,False,0,Blonde
Ana de Armas,F,1988,,Stranska,True,0,Blonde
Andra Day,F,1984,,Glavna,False,1,The United States vs. Billie Holiday
Andra Day,F,1984,,Glavna,True,0,The United States vs. Billie Holiday
Andra Day,F,1984,,Stranska,False,0,The United States vs. Billie Holiday
Andra Day,F,1984,,Stranska,True,0,The United States vs. Billie Holiday
Andrea Leeds,F,1914,1984.0,Glavna,False,0,Stage Door
Andrea Leeds,F,1914,1984.0,Glavna,True,0,Stage Door
Andrea Leeds,F,1914,1984.0,Stranska,False,1,Stage Door
Andrea Leeds,F,1914,1984.0,Stranska,True,0,Stage Door
Andrea Riseborough,F,1981,,Glavna,False,1,To Leslie
Andrea Riseborough,F,1981,,Glavna,True,0,To Leslie
Andrea Riseborough,F,1981,,Stranska,False,0,To Leslie
Andrea Riseborough,F,1981,,Stranska,True,0,To Leslie
Andrew Garfield,M,1983,,Glavna,False,2,Hacksaw Ridge
Andrew Garfield,M,1983,,Glavna,True,0,Hacksaw Ridge
Andrew Garfield,M,1983,,Stranska,False,0,Hacksaw Ridge
Andrew Garfield,M,1983,,Stranska,True,0,Hacksaw Ridge
Andy García,M,1956,,Glavna,False,0,The Godfather Part III
Andy García,M,1956,,Glavna,True,0,The Godfather Part III
Andy García,M,1956,,Stranska,False,1,The Godfather Part III
Andy García,M,1956,,Stranska,True,0,The Godfather Part III
Angela Bassett,F,1958,,Glavna,False,1,What's Love Got to Do with It
Angela Bassett,F,1958,,Glavna,True,0,What's Love Got to Do with It
Angela Bassett,F,1958,,Stranska,False,1,What's Love Got to Do with It
Angela Bassett,F,1958,,Stranska,True,0,What's Love Got to Do with It
Angela Lansbury,F,1925,2022.0,Glavna,False,0,Gaslight
Angela Lansbury,F,1925,2022.0,Glavna,True,0,Gaslight
Angela Lansbury,F,1925,2022.0,Stranska,False,3,Gaslight
Angela Lansbury,F,1925,2022.0,Stranska,True,0,Gaslight
Angelina Jolie,F,1975,,Glavna,False,1,"Girl, Interrupted"
Angelina Jolie,F,1975,,Glavna,True,0,"Girl, Interrupted"
Angelina Jolie,F,1975,,Stranska,False,0,"Girl, Interrupted"
Angelina Jolie,F,1975,,Stranska,True,1,"Girl, Interrupted"
Anjelica Huston,F,1951,,Glavna,False,1,Prizzi's Honor
Anjelica Huston,F,1951,,Glavna,True,0,Prizzi's Honor
Anjelica Huston,F,1951,,Stranska,False,1,Prizzi's Honor
Anjelica Huston,F,1951,,Stranska,True,1,Prizzi's Honor
Ann Blyth,F,1928,,Glavna,False,0,Mildred Pierce
Ann Blyth,F,1928,,Glavna,True,0,Mildred Pierce
Ann Blyth,F,1928,,Stranska,False,1,Mildred Pierce
Ann Blyth,F,1928,,Stranska,True,0,Mildred Pierce
Ann Harding,F,1902,1981.0,Glavna,False,1,Holiday
Ann Harding,F,1902,1981.0,Glavna,True,0,Holiday
Ann Harding,F,1902,1981.0,Stranska,False,0,Holiday
Ann Harding,F,1902,1981.0,Stranska,True,0,Holiday
Ann Sothern,F,1909,2001.0,Glavna,False,0,The Whales of August
Ann Sothern,F,1909,2001.0,Glavna,True,0,The Whales of August
Ann Sothern,F,1909,2001.0,Stranska,False,1,The Whales of August
Ann Sothern,F,1909,2001.0,Stranska,True,0,The Whales of August
Ann-Margret,F,1941,,Glavna,False,1,Tommy
Ann-Margret,F,1941,,Glavna,True,0,Tommy
Ann-Margret,F,1941,,Stranska,False,1,Tommy
Ann-Margret,F,1941,,Stranska,True,0,Tommy
Anna Kendrick,F,1985,,Glavna,False,0,Up in the Air
Anna Kendrick,F,1985,,Glavna,True,0,Up in the Air
Anna Kendrick,F,1985,,Stranska,False,1,Up in the Air
Anna Kendrick,F,1985,,Stranska,True,0,Up in the Air
Anna Magnani,F,1908,1973.0,Glavna,False,1,The Rose Tattoo
Anna Magnani,F,1908,1973.0,Glavna,True,1,The Rose Tattoo
Anna Magnani,F,1908,1973.0,Stranska,False,0,The Rose Tattoo
Anna Magnani,F,1908,1973.0,Stranska,True,0,The Rose Tattoo
Anna Paquin,F,1982,,Glavna,False,0,The Piano
Anna Paquin,F,1982,,Glavna,True,0,The Piano
Anna Paquin,F,1982,,Stranska,False,0,The Piano
Anna Paquin,F,1982,,Stranska,True,1,The Piano
Anne Archer,F,1947,,Glavna,False,0,Fatal Attraction
Anne Archer,F,1947,,Glavna,True,0,Fatal Attraction
Anne Archer,F,1947,,Stranska,False,1,Fatal Attraction
Anne Archer,F,1947,,Stranska,True,0,Fatal Attraction
Anne Bancroft,F,1931,2005.0,Glavna,False,4,The Miracle Worker
Anne Bancroft,F,1931,2005.0,Glavna,True,1,The Miracle Worker
Anne Bancroft,F,1931,2005.0,Stranska,False,0,The Miracle Worker
Anne Bancroft,F,1931,2005.0,Stranska,True,0,The Miracle Worker
Anne Baxter,F,1923,1985.0,Glavna,False,1,The Razor's Edge
Anne Baxter,F,1923,1985.0,Glavna,True,0,The Razor's Edge
Anne Baxter,F,1923,1985.0,Stranska,False,0,The Razor's Edge
Anne Baxter,F,1923,1985.0,Stranska,True,1,The Razor's Edge
Anne Hathaway,F,1982,,Glavna,False,1,Les Misérables
Anne Hathaway,F,1982,,Glavna,True,0,Les Misérables
Anne Hathaway,F,1982,,Stranska,False,0,Les Misérables
Anne Hathaway,F,1982,,Stranska,True,1,Les Misérables
Anne Ramsey,F,1929,1988.0,Glavna,False,0,Throw Momma from the Train
Anne Ramsey,F,1929,1988.0,Glavna,True,0,Throw Momma from the Train
Anne Ramsey,F,1929,1988.0,Stranska,False,1,Throw Momma from the Train
Anne Ramsey,F,1929,1988.0,Stranska,True,0,Throw Momma from the Train
Anne Revere,F,1903,1990.0,Glavna,False,0,National Velvet
Anne Revere,F,1903,1990.0,Glavna,True,0,National Velvet
Anne Revere,F,1903,1990.0,Stranska,False,2,National Velvet
Anne Revere,F,1903,1990.0,Stranska,True,1,National Velvet
Anne Shirley,F,1918,1993.0,Glavna,False,0,Stella Dallas
Anne Shirley,F,1918,1993.0,Glavna,True,0,Stella Dallas
Anne Shirley,F,1918,1993.0,Stranska,False,1,Stella Dallas
Anne Shirley,F,1918,1993.0,Stranska,True,0,Stella Dallas
Annette Bening,F,1958,,Glavna,False,4,American Beauty
Annette Bening,F,1958,,Glavna,True,0,American Beauty
Annette Bening,F,1958,,Stranska,False,1,American Beauty
Annette Bening,F,1958,,Stranska,True,0,American Beauty
Anouk Aimée,F,1932,2024.0,Glavna,False,1,A Man and a Woman
Anouk Aimée,F,1932,2024.0,Glavna,True,0,A Man and a Woman
Anouk Aimée,F,1932,2024.0,Stranska,False,0,A Man and a Woman
Anouk Aimée,F,1932,2024.0,Stranska,True,0,A Man and a Woman
Anthony Franciosa,M,1928,2006.0,Glavna,False,1,A Hatful of Rain
Anthony Franciosa,M,1928,2006.0,Glavna,True,0,A Hatful of Rain
Anthony Franciosa,M,1928,2006.0,Stranska,False,0,A Hatful of Rain
Anthony Franciosa,M,1928,2006.0,Stranska,True,0,A Hatful of Rain
Anthony Hopkins,M,1937,,Glavna,False,2,The Silence of the Lambs
Anthony Hopkins,M,1937,,Glavna,True,2,The Silence of the Lambs
Anthony Hopkins,M,1937,,Stranska,False,2,The Silence of the Lambs
Anthony Hopkins,M,1937,,Stranska,True,0,The Silence of the Lambs
Anthony Perkins,M,1932,1992.0,Glavna,False,0,Friendly Persuasion
Anthony Perkins,M,1932,1992.0,Glavna,True,0,Friendly Persuasion
Anthony Perkins,M,1932,1992.0,Stranska,False,1,Friendly Persuasion
Anthony Perkins,M,1932,1992.0,Stranska,True,0,Friendly Persuasion
Anthony Quayle,M,1913,1989.0,Glavna,False,0,Anne of the Thousand Days
Anthony Quayle,M,1913,1989.0,Glavna,True,0,Anne of the Thousand Days
Anthony Quayle,M,1913,1989.0,Stranska,False,1,Anne of the Thousand Days
Anthony Quayle,M,1913,1989.0,Stranska,True,0,Anne of the Thousand Days
Anthony Quinn,M,1915,2001.0,Glavna,False,2,Viva Zapata!
Anthony Quinn,M,1915,2001.0,Glavna,True,0,Viva Zapata!
Anthony Quinn,M,1915,2001.0,Stranska,False,0,Viva Zapata!
Anthony Quinn,M,1915,2001.0,Stranska,True,2,Viva Zapata!
Antonio Banderas,M,1960,,Glavna,False,1,Pain and Glory
Antonio Banderas,M,1960,,Glavna,True,0,Pain and Glory
Antonio Banderas,M,1960,,Stranska,False,0,Pain and Glory
Antonio Banderas,M,1960,,Stranska,True,0,Pain and Glory
Ariana DeBose,F,1991,,Glavna,False,0,West Side Story
Ariana DeBose,F,1991,,Glavna,True,0,West Side Story
Ariana DeBose,F,1991,,Stranska,False,0,West Side Story
Ariana DeBose,F,1991,,Stranska,True,1,West Side Story
Armin Mueller-Stahl,M,1930,,Glavna,False,0,Shine
Armin Mueller-Stahl,M,1930,,Glavna,True,0,Shine
Armin Mueller-Stahl,M,1930,,Stranska,False,1,Shine
Armin Mueller-Stahl,M,1930,,Stranska,True,0,Shine
Art Carney,M,1918,2003.0,Glavna,False,0,Harry and Tonto
Art Carney,M,1918,2003.0,Glavna,True,1,Harry and Tonto
Art Carney,M,1918,2003.0,Stranska,False,0,Harry and Tonto
Art Carney,M,1918,2003.0,Stranska,True,0,Harry and Tonto
Arthur Hunnicutt,M,1910,1979.0,Glavna,False,0,The Big Sky
Arthur Hunnicutt,M,1910,1979.0,Glavna,True,0,The Big Sky
Arthur Hunnicutt,M,1910,1979.0,Stranska,False,1,The Big Sky
Arthur Hunnicutt,M,1910,1979.0,Stranska,True,0,The Big Sky
Arthur Kennedy,M,1914,1990.0,Glavna,False,1,Bright Victory
Arthur Kennedy,M,1914,1990.0,Glavna,True,0,Bright Victory
Arthur Kennedy,M,1914,1990.0,Stranska,False,4,Bright Victory
Arthur Kennedy,M,1914,1990.0,Stranska,True,0,Bright Victory
Arthur O'Connell,M,1908,1981.0,Glavna,False,0,Picnic
Arthur O'Connell,M,1908,1981.0,Glavna,True,0,Picnic
Arthur O'Connell,M,1908,1981.0,Stranska,False,2,Picnic
Arthur O'Connell,M,1908,1981.0,Stranska,True,0,Picnic
Audrey Hepburn,F,1929,1993.0,Glavna,False,4,Roman Holiday
Audrey Hepburn,F,1929,1993.0,Glavna,True,1,Roman Holiday
Audrey Hepburn,F,1929,1993.0,Stranska,False,0,Roman Holiday
Audrey Hepburn,F,1929,1993.0,Stranska,True,0,Roman Holiday
Aunjanue Ellis,F,1969,,Glavna,False,0,King Richard
Aunjanue Ellis,F,1969,,Glavna,True,0,King Richard
Aunjanue Ellis,F,1969,,Stranska,False,1,King Richard
Aunjanue Ellis,F,1969,,Stranska,True,0,King Richard
Austin Butler,M,1991,,Glavna,False,1,Elvis
Austin Butler,M,1991,,Glavna,True,0,Elvis
Austin Butler,M,1991,,Stranska,False,0,Elvis
Austin Butler,M,1991,,Stranska,True,0,Elvis
Ava Gardner,F,1922,1990.0,Glavna,False,1,Mogambo
Ava Gardner,F,1922,1990.0,Glavna,True,0,Mogambo
Ava Gardner,F,1922,1990.0,Stranska,False,0,Mogambo
Ava Gardner,F,1922,1990.0,Stranska,True,0,Mogambo
Barbara Barrie,F,1931,,Glavna,False,0,Breaking Away
Barbara Barrie,F,1931,,Glavna,True,0,Breaking Away
Barbara Barrie,F,1931,,Stranska,False,1,Breaking Away
Barbara Barrie,F,1931,,Stranska,True,0,Breaking Away
Barbara Bel Geddes,F,1922,2005.0,Glavna,False,0,I Remember Mama
Barbara Bel Geddes,F,1922,2005.0,Glavna,True,0,I Remember Mama
Barbara Bel Geddes,F,1922,2005.0,Stranska,False,1,I Remember Mama
Barbara Bel Geddes,F,1922,2005.0,Stranska,True,0,I Remember Mama
Barbara Harris,F,1935,2018.0,Glavna,False,0,Who Is Harry Kellerman...?
Barbara Harris,F,1935,2018.0,Glavna,True,0,Who Is Harry Kellerman...?
Barbara Harris,F,1935,2018.0,Stranska,False,1,Who Is Harry Kellerman...?
Barbara Harris,F,1935,2018.0,Stranska,True,0,Who Is Harry Kellerman...?
Barbara Hershey,F,1948,,Glavna,False,0,The Portrait of a Lady
Barbara Hershey,F,1948,,Glavna,True,0,The Portrait of a Lady
Barbara Hershey,F,1948,,Stranska,False,1,The Portrait of a Lady
Barbara Hershey,F,1948,,Stranska,True,0,The Portrait of a Lady
Barbara O'Neil,F,1910,1980.0,Glavna,False,0,"All This, and Heaven Too"
Barbara O'Neil,F,1910,1980.0,Glavna,True,0,"All This, and Heaven Too"
Barbara O'Neil,F,1910,1980.0,Stranska,False,1,"All This, and Heaven Too"
Barbara O'Neil,F,1910,1980.0,Stranska,True,0,"All This, and Heaven Too"
Barbara Stanwyck,F,1907,1990.0,Glavna,False,4,Stella Dallas
Barbara Stanwyck,F,1907,1990.0,Glavna,True,0,Stella Dallas
Barbara Stanwyck,F,1907,1990.0,Stranska,False,0,Stella Dallas
Barbara Stanwyck,F,1907,1990.0,Stranska,True,0,Stella Dallas
Barbra Streisand,F,1942,,Glavna,False,1,Funny Girl
Barbra Streisand,F,1942,,Glavna,True,1,Funny Girl
Barbra Streisand,F,1942,,Stranska,False,0,Funny Girl
Barbra Streisand,F,1942,,Stranska,True,0,Funny Girl
Barkhad Abdi,M,1985,,Glavna,False,0,Captain Phillips
Barkhad Abdi,M,1985,,Glavna,True,0,Captain Phillips
Barkhad Abdi,M,1985,,Stranska,False,1,Captain Phillips
Barkhad Abdi,M,1985,,Stranska,True,0,Captain Phillips
Barry Fitzgerald,M,1888,1961.0,Glavna,False,1,Going My Way
Barry Fitzgerald,M,1888,1961.0,Glavna,True,0,Going My Way
Barry Fitzgerald,M,1888,1961.0,Stranska,False,0,Going My Way
Barry Fitzgerald,M,1888,1961.0,Stranska,True,1,Going My Way
Barry Keoghan,M,1992,,Glavna,False,0,The Banshees of Inisherin
Barry Keoghan,M,1992,,Glavna,True,0,The Banshees of Inisherin
Barry Keoghan,M,1992,,Stranska,False,1,The Banshees of Inisherin
Barry Keoghan,M,1992,,Stranska,True,0,The Banshees of Inisherin
Basil Rathbone,M,1892,1967.0,Glavna,False,0,Romeo and Juliet
Basil Rathbone,M,1892,1967.0,Glavna,True,0,Romeo and Juliet
Basil Rathbone,M,1892,1967.0,Stranska,False,2,Romeo and Juliet
Basil Rathbone,M,1892,1967.0,Stranska,True,0,Romeo and Juliet
Beah Richards,F,1920,2000.0,Glavna,False,0,Guess Who's Coming to Dinner
Beah Richards,F,1920,2000.0,Glavna,True,0,Guess Who's Coming to Dinner
Beah Richards,F,1920,2000.0,Stranska,False,1,Guess Who's Coming to Dinner
Beah Richards,F,1920,2000.0,Stranska,True,0,Guess Who's Coming to Dinner
Beatrice Straight,F,1914,2001.0,Glavna,False,0,Network
Beatrice Straight,F,1914,2001.0,Glavna,True,0,Network
Beatrice Straight,F,1914,2001.0,Stranska,False,0,Network
Beatrice Straight,F,1914,2001.0,Stranska,True,1,Network
Ben Johnson,M,1918,1996.0,Glavna,False,0,The Last Picture Show
Ben Johnson,M,1918,1996.0,Glavna,True,0,The Last Picture Show
Ben Johnson,M,1918,1996.0,Stranska,False,0,The Last Picture Show
Ben Johnson,M,1918,1996.0,Stranska,True,1,The Last Picture Show
Ben Kingsley,M,1943,,Glavna,False,1,Gandhi
Ben Kingsley,M,1943,,Glavna,True,1,Gandhi
Ben Kingsley,M,1943,,Stranska,False,2,Gandhi
Ben Kingsley,M,1943,,Stranska,True,0,Gandhi
Benedict Cumberbatch,M,1976,,Glavna,False,2,The Imitation Game
Benedict Cumberbatch,M,1976,,Glavna,True,0,The Imitation Game
Benedict Cumberbatch,M,1976,,Stranska,False,0,The Imitation Game
Benedict Cumberbatch,M,1976,,Stranska,True,0,The Imitation Game
Benicio del Toro,M,1967,,Glavna,False,0,Traffic
Benicio del Toro,M,1967,,Glavna,True,0,Traffic
Benicio del Toro,M,1967,,Stranska,False,1,Traffic
Benicio del Toro,M,1967,,Stranska,True,1,Traffic
Bessie Love,F,1898,1986.0,Glavna,False,1,The Broadway Melody
Bessie Love,F,1898,1986.0,Glavna,True,0,The Broadway Melody
Bessie Love,F,1898,1986.0,Stranska,False,0,The Broadway Melody
Bessie Love,F,1898,1986.0,Stranska,True,0,The Broadway Melody
Betsy Blair,F,1923,2009.0,Glavna,False,0,Marty
Betsy Blair,F,1923,2009.0,Glavna,True,0,Marty
Betsy Blair,F,1923,2009.0,Stranska,False,1,Marty
Betsy Blair,F,1923,2009.0,Stranska,True,0,Marty
Bette Davis,F,1908,1989.0,Glavna,False,9,Dangerous
Bette Davis,F,1908,1989.0,Glavna,True,2,Dangerous
Bette Davis,F,1908,1989.0,Stranska,False,0,Dangerous
Bette Davis,F,1908,1989.0,Stranska,True,0,Dangerous
Bette Midler,F,1945,,Glavna,False,2,The Rose
Bette Midler,F,1945,,Glavna,True,0,The Rose
Bette Midler,F,1945,,Stranska,False,0,The Rose
Bette Midler,F,1945,,Stranska,True,0,The Rose
Betty Compson,F,1897,1974.0,Glavna,False,1,The Barker
Betty Compson,F,1897,1974.0,Glavna,True,0,The Barker
Betty Compson,F,1897,1974.0,Stranska,False,0,The Barker
Betty Compson,F,1897,1974.0,Stranska,True,0,The Barker
Beulah Bondi,F,1889,1981.0,Glavna,False,0,The Gorgeous Hussy
Beulah Bondi,F,1889,1981.0,Glavna,True,0,The Gorgeous Hussy
Beulah Bondi,F,1889,1981.0,Stranska,False,2,The Gorgeous Hussy
Beulah Bondi,F,1889,1981.0,Stranska,True,0,The Gorgeous Hussy
Bill Murray,M,1950,,Glavna,False,1,Lost in Translation
Bill Murray,M,1950,,Glavna,True,0,Lost in Translation
Bill Murray,M,1950,,Stranska,False,0,Lost in Translation
Bill Murray,M,1950,,Stranska,True,0,Lost in Translation
Bill Nighy,M,1949,,Glavna,False,0,Living
Bill Nighy,M,1949,,Glavna,True,0,Living
Bill Nighy,M,1949,,Stranska,False,1,Living
Bill Nighy,M,1949,,Stranska,True,0,Living
Billie Burke,F,1884,1970.0,Glavna,False,0,Merrily We Live
Billie Burke,F,1884,1970.0,Glavna,True,0,Merrily We Live
Billie Burke,F,1884,1970.0,Stranska,False,1,Merrily We Live
Billie Burke,F,1884,1970.0,Stranska,True,0,Merrily We Live
Billy Bob Thornton,M,1955,,Glavna,False,1,Sling Blade
Billy Bob Thornton,M,1955,,Glavna,True,0,Sling Blade
Billy Bob Thornton,M,1955,,Stranska,False,1,Sling Blade
Billy Bob Thornton,M,1955,,Stranska,True,0,Sling Blade
Bing Crosby,M,1903,1977.0,Glavna,False,2,Going My Way
Bing Crosby,M,1903,1977.0,Glavna,True,1,Going My Way
Bing Crosby,M,1903,1977.0,Stranska,False,0,Going My Way
Bing Crosby,M,1903,1977.0,Stranska,True,0,Going My Way
Bob Hoskins,M,1942,2014.0,Glavna,False,1,Mona Lisa
Bob Hoskins,M,1942,2014.0,Glavna,True,0,Mona Lisa
Bob Hoskins,M,1942,2014.0,Stranska,False,0,Mona Lisa
Bob Hoskins,M,1942,2014.0,Stranska,True,0,Mona Lisa
Bobby Darin,M,1936,1973.0,Glavna,False,0,"Captain Newman, M.D."
Bobby Darin,M,1936,1973.0,Glavna,True,0,"Captain Newman, M.D."
Bobby Darin,M,1936,1973.0,Stranska,False,1,"Captain Newman, M.D."
Bobby Darin,M,1936,1973.0,Stranska,True,0,"Captain Newman, M.D."
Bonita Granville,F,1923,1988.0,Glavna,False,0,These Three
Bonita Granville,F,1923,1988.0,Glavna,True,0,These Three
Bonita Granville,F,1923,1988.0,Stranska,False,1,These Three
Bonita Granville,F,1923,1988.0,Stranska,True,0,These Three
